% # iter+eval+sigma+0+fitness+xbest, seed=258499, Thu Dec  8 13:09:32 2016
1 12 0.893619086803 0 -2.61263528722 0.184348307142 0.179261206604 0.260779341541 3.29660727644 612.407185954 1690.93988808 1879.6487516 0.01 37.0115413951 0.01 15.2310783928 2.06288487347
2 23 0.819226760809 0 -2.52553481059 0.0937682358831 0.1 0.05 5.20720522371 2402.91320802 2200.81903686 5331.0576839 0.01 23.0731813233 0.01 16.1999250295 4.6119416411
3 34 0.785683631337 0 -2.5358981361 0.05 0.125861692523 0.183666816525 5.31391501255 2200.48816227 2019.97363043 1000.0 1.41281341491 34.1731083788 3.50136093347 24.07662978 2.68263893006
4 45 0.768172165021 0 -2.67452037131 0.05 0.13759371568 0.577774976291 3.66600080643 4178.69126573 4750.46580765 4369.59146209 0.234475225925 41.2740010676 1.2496886942 33.1790257718 3.54627515721
5 56 0.751556829775 0 -2.57177836735 0.118909672394 0.135788905218 0.495416595625 7.26324964184 4334.01412217 4100.45392938 5985.03720226 0.140224973016 51.6929649859 2.5345698196 39.7719206625 1.96823016752
6 67 0.758496869129 0 -2.63353688261 0.05 0.624021319997 0.482117632539 3.38721694341 2991.60836111 3319.62987197 6822.39331651 1.18429675918 26.1945882786 1.36943500088 35.4117257602 1.4746205963
7 78 0.743138510189 0 -2.63152536266 0.05 0.32758341878 0.494433039145 5.1153913031 764.791040399 3038.5519697 5001.96916126 1.09682895018 21.4260539106 1.42847884744 37.8920532319 2.26488022114
8 89 0.747016723218 0 -2.59051818816 0.05 0.72283336032 0.348776880368 4.43070391994 2685.95150116 4264.1085794 5478.19510038 0.652244777825 27.8942802949 1.31603725955 36.9225622723 2.96061790415
9 100 0.692311100367 0 -2.65011955233 0.05 0.420765280491 0.211371607177 5.27181953626 2274.0543915 1839.26063399 5458.65129073 0.628200443406 16.5891232194 0.01 46.304427348 2.86260555062
10 111 0.644543813664 0 -2.59059577277 0.05 0.440793963564 0.519876084527 6.15001490432 2319.34315263 2710.37194305 4482.78280201 0.962280442955 12.1186781423 0.602306533822 19.9831768479 2.66806886099
11 122 0.569438053402 0 -2.67638157637 0.05 0.506001854157 0.413455409153 5.45537674878 2365.35512532 2820.32825411 6152.91279621 0.34136710113 47.4934640446 1.0914959139 63.6571151511 2.34330916129
12 133 0.517238210516 0 -2.63643276443 0.05 0.264083668221 0.322083707942 5.05823644508 1351.18614651 1912.05101463 4197.72459718 0.599350193301 44.2364126644 0.700518751376 68.9771302126 2.114865149
13 144 0.487397227933 0 -2.62765969043 0.05 0.307255016392 0.41573467429 3.29735284188 2608.16660628 2975.63739787 6138.69263661 1.28892795132 15.6050050116 1.10827601576 35.5709092636 2.30326583067
14 155 0.456588203364 0 -2.64341099727 0.05 0.134944911147 0.561306466572 4.924059693 2917.98231575 3134.58590388 7874.18035106 1.03943645245 24.6863530449 1.28459657797 51.8260431098 1.61274090296
15 166 0.431824226784 0 -2.6397989115 0.05 0.248430998727 0.440863005013 6.10444363359 2806.35628692 3139.36699287 7124.91066756 1.09942996351 32.5017054501 0.714052751575 62.5574637988 1.68600244991
16 177 0.421488306428 0 -2.66098862961 0.05 0.135535337056 0.508991175833 5.11243605331 2936.98531549 2573.75407715 6182.58319644 0.515894716341 35.9859752537 0.210026537479 70.3020830021 2.09188325494
17 188 0.40891382813 0 -2.66989649278 0.05 0.265145761027 0.588711773533 3.92535785442 2570.00823854 3061.65652324 6379.61285609 0.389434494978 23.1081201456 0.150934945302 61.493454989 2.29366824376
18 199 0.392043864712 0 -2.67542371643 0.0558854768831 0.189968533152 0.392452615969 5.63259632598 2375.14241894 2804.72261731 9090.66145742 0.211601723587 28.3168684955 0.0272399317667 61.4255674495 1.82324798617
19 210 0.362148532155 0 -2.67299222757 0.05 0.132546161679 0.503477673175 2.83649523328 2512.55418253 3577.9685902 7279.22721024 0.571398631916 27.2474986388 0.709095456251 52.754793738 2.17089108892
20 221 0.354120055848 0 -2.66727933789 0.0571981428349 0.256806101245 0.648064175489 3.60059916758 2595.86473013 3878.75897351 8486.81738282 0.695715357709 29.5649252919 1.15754841321 64.9706262918 2.22868163235
21 232 0.324217060918 0 -2.67725937296 0.0753635935142 0.150951277024 0.596869956132 3.81167733017 2165.2704732 3211.12622435 6760.91166724 0.395260439461 23.7859143372 1.04002238806 67.1863444672 2.18781634164
22 243 0.309177664062 0 -2.66902367899 0.149119168929 0.145383542314 0.611276153408 3.97248196537 1545.8236912 3597.42287128 7288.39429954 0.0481146136358 23.5732649199 0.71689809546 50.8219961544 2.24315578066
23 254 0.295674568619 0 -2.66593724384 0.0911660036748 0.260102792233 0.446621846834 3.60472584711 2846.25272494 3109.56349116 8559.72152374 0.371076367528 38.8986814917 0.01 56.4488223432 2.86032722796
24 265 0.27949400189 0 -2.67608607647 0.0511167909264 0.253736851279 0.484366559332 2.8563355698 2587.21411234 3451.95883331 8100.80143546 0.537326381626 30.801641972 0.01 60.9924307702 2.51613751433
25 276 0.276207774936 0 -2.67463663808 0.05 0.295958141405 0.313149875301 2.47856133161 2365.78812593 3207.55730098 7863.07857848 0.449760144894 34.6746896399 0.01 67.2729844687 2.18657710709
26 287 0.28276282692 0 -2.67592492377 0.05 0.293974667828 0.369533137335 5.14724635779 2701.72287426 3518.92135443 8824.27641586 0.268619495733 39.598890032 0.01 69.2486092717 2.72636803144
27 298 0.279217655378 0 -2.66796431666 0.05 0.322667930373 0.465007439074 3.76212854085 2221.20034454 2933.69696255 7755.22288839 0.375433934951 33.7573410938 0.886447532243 74.3063002502 2.18488163974
